"层级","优先级","接口名称","用途","本轮诊断价值","是否属于最小集"
"故障源","必须","Veh_1.Driver.BrakePedal_perc","保留原始踏板注入值","区分100%与150%的唯一可靠依据","是"
"直接模拟执行","必须","Veh_1.ToVCU.HW.Voltage Output.Voltage Output1.BRK_Main_Out","观察主制动模拟量","验证线性映射及上下限饱和","是"
"直接数字执行","必须","Veh_1.ToVCU.HW.Relay.Relay9.BrakeOpen1_Out","观察制动离散使能","与主电压互补，识别数字执行支路未激活","是"
"VCU命令","必须","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_Torque","观察扭矩撤除请求","正向制动后140至300ms降至基线5%以下","是"
"前轴实际扭矩","必须","Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq","验证前电机扭矩撤除","正向制动后200至320ms降至基线5%以下","是"
"后轴实际扭矩","必须","Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","验证后电机扭矩撤除","正向制动后200至320ms降至基线5%以下","是"
"电能响应","必须","Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_busbar_current_ToBus","观察MC侧母线电流","正向制动后200至320ms降至基线5%以下","是"
"车辆响应","必须","Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","观察最终纵向响应","正向制动后约300至360ms达峰并转降；负值注入持续上升","是"
"状态一致性","必须","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_1.VCU_bBrakeSt","观察VCU制动状态确认","正向制动后200至320ms置位；仅作反馈证据","是"
"冗余数字执行","推荐","Veh_1.ToVCU.HW.Relay.Relay12.BrakeOpen2_Out","验证双继电器一致性","本轮与Relay9全程一致","否"
"冗余模拟执行","推荐","Veh_1.ToVCU.HW.Voltage Output.Voltage Output5.BRK_Auxi_Out","验证主辅比例","本轮始终为BRK_Main_Out的一半","否"
"BMS能量响应","推荐","Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_HVBusCurr_ToBus","BMS侧交叉验证","与MC电流同向下降","否"
"ABS/EBD状态","条件性","Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.ABSActive; Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.EBDActive; Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.ABSFailSts; Veh_1.FromVCU.CAN.VCU_Body.GW_ABS_1.EBDFailSts","观察ABS/EBD介入和故障","本轮全程为0","否"
