"层级","优先级","接口名称","用途","本轮观测价值","是否属于最小集"
"上电请求","必须","Veh_1.Driver.Key","定义上电、下电与时延起点","两次上下电均清晰记录","是"
"上电门控","必须","Veh_1.Driver.BrakePedal_perc; Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_1.VCU_bBrakeSt","确认制动预置与VCU制动状态","上电前出现制动预置","是"
"状态机命令","必须","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_BMS_target_state","观察上下电状态码序列","记录7→2→3→4及下电序列","是"
"充电继电器命令","必须","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_charge_relay_control","观察充电继电器控制撤除/建立","上电240ms置位、下电220ms撤除","是"
"放电继电器命令","必须","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_Discharge_relay_control","观察放电继电器控制撤除/建立","上电260至760ms阶梯变化、下电100ms撤除","是"
"预充反馈","必须","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS_PrechargeContSts","确认预充执行完成","本轮全程为0，必须保留","是"
"主接触器反馈","必须","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS__PosBattContSts","确认高压主接触器实际状态","本轮全程为0，必须保留","是"
"高压故障","必须","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS__BattContFail","注入/观测接触器故障","置位3.32s但未引起已记录命令变化","是"
"下电反馈","必须","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS_Powerdown","确认BMS完成下电","本轮全程为0，必须保留","是"
"故障码","必须","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_3.VCU_Faultcode","观察VCU故障响应","本轮全程为0","是"
"模型状态","推荐","Veh_1.ToVCU.HW.Relay.Relay25.Model_Disabled_Out; Model_Disabled; Model_Reset","区分Key关断与模型禁用/复位","输出随Key变化，两个控制输入未触发","否"
"VCU模式","推荐","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_ModeReq","记录对外模式码","本轮全程为0，无区分度","否"
"动力安全","下一轮必须","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd; Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_Torque; Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrq; Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","确认下电/故障后实际动力是否已切断","本轮未记录","否"
