通道,开始时间_s,结束时间_s,注入值,工况稳定性,已记录响应,判定,备注
Ch1,0.92,1.14,100,否,无离散状态或故障变化,待复验,与MC母线电压收敛尾段重叠
Ch2,1.36,1.58,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch3,1.80,2.00,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch4,2.22,2.44,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch5,2.66,2.88,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch6,3.10,3.30,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch7,3.52,3.74,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch8,3.96,4.18,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch9,4.40,4.60,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch10,4.88,5.08,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch11,5.32,5.52,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch12,5.74,5.96,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch13,6.18,6.38,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch14,6.62,6.82,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch15,7.04,7.26,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch16,7.48,7.68,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch17,7.92,8.12,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch18,8.34,8.56,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch19,8.78,8.98,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch20,9.22,9.42,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch21,9.64,9.86,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch22,10.08,10.28,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch23,10.52,10.72,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
Ch24,10.94,11.16,100,是,未观察到,BMS/MC/扭矩/状态均无同步变化,有效静态探测
