SignalRole,InterfaceName,RefBlock,Direction,DataType,RecordWhen,Reason,RelatedTests,StaticStatus
Injection source,Veh_1.Driver.BrakePedal_perc,Veh_1/Driver/BrakePedal_perc,Input,Double,Always,记录原始值注入值恢复值和时间,FI-01;FI-05,Resolved dependency
Injection source,Veh_1.Driver.AccPedal_perc,Veh_1/Driver/AccPedal_perc,Input,Double,Always,识别加速请求和制动加速冲突,FI-02,Resolved dependency
Context input,Veh_1.Driver.BrakeMode,Veh_1/Driver/BrakeMode,Input,Double,Always,解释制动模式和动力状态仲裁,FI-01;FI-05,Resolved dependency
Context input,Veh_1.Driver.Gear_Button,Veh_1/Driver/Gear_Button,Input,Double,Always,解释挡位和后电机状态,FI-03;FI-04;FI-05,Resolved dependency
Context input,Veh_1.Driver.DriveMode,Veh_1/Driver/DriveMode,Input,Double,Always,解释驾驶模式和继电器输出,FI-03;FI-07,Resolved dependency
Context input,Veh_1.Driver.Key,Veh_1/Driver/Key,Input,Double,Always,解释使能和模型禁用行为,FI-01;FI-07;FI-08,Resolved dependency
Lifecycle input,Model_Disabled,InputPort/Model_Disabled,Input,UInt8,Always,确认模型停止更新或保持输出,FI-10,Environment wrapper; runtime required
Lifecycle input,Model_Reset,InputPort/Model_Reset,Input,UInt8,Always,确认状态复位和故障锁存,FI-10,Environment wrapper; runtime required
VCU request,Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd,Veh_1/FromVCU/CAN/VCU_Body/GW_VCU_2/VCU_TqReqCmd,Input,Double,Always,动力请求基线和CAN异常注入源,FI-03;FI-04;FI-06;FI-09,Resolved dependency
VCU limit,Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_MaxTorque,Veh_1/FromVCU/CAN/VCU_Power/VCU_MC_TrqCtrl/VCU_Target_output_MaxTorque,Input,Double,Always,比较扭矩请求限制值和实际转矩,FI-03;FI-06,Resolved dependency
